Unnamed: 0;location_id;location_name;year_id;sex_id;sex;measure_id;measure_name;metric_id;metric_name;scenario_id;scenario_name;val;lower;upper;expectancy years;expectancy weeks
6650;79;Finland;2034;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.91230539330847;83.59525105410033;84.23735059513314;83.91230539330847;4363.439880452041
6651;79;Finland;2035;3;Both;26;Life expectancy;1;Number;0;Reference;83.9191272280271;83.60156293679138;84.2500651809202;83.9191272280271;4363.794615857409
6652;79;Finland;2035;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.28678254631637;83.97437400999404;84.60849501029884;84.28678254631637;4382.912692408451
6653;79;Finland;2035;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.98037780539308;83.66460790119459;84.30886447292109;83.98037780539308;4366.97964588044
6654;79;Finland;2036;3;Both;26;Life expectancy;1;Number;0;Reference;83.98589338889393;83.6461198962714;84.31696246061878;83.98589338889393;4367.2664562224845
6655;79;Finland;2036;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.36713814647352;84.02616760033737;84.70047507289988;84.36713814647352;4387.091183616623
6656;79;Finland;2036;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.05256328323252;83.71378307410572;84.38232617101217;84.05256328323252;4370.733290728091
6657;79;Finland;2037;3;Both;26;Life expectancy;1;Number;0;Reference;84.03492731395403;83.6868590111875;84.36972364747214;84.03492731395403;4369.81622032561
6658;79;Finland;2037;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.43038634712478;84.09265668611208;84.76587096679833;84.43038634712478;4390.380090050488
6659;79;Finland;2037;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.10782150169818;83.76075751871544;84.44274604703074;84.10782150169818;4373.606718088306
6660;79;Finland;2038;3;Both;26;Life expectancy;1;Number;0;Reference;84.09494902210179;83.74923076379531;84.43567248444062;84.09494902210179;4372.937349149293
6661;79;Finland;2038;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.50306175110754;84.16057731014293;84.84549436123919;84.50306175110754;4394.159211057592
6662;79;Finland;2038;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.17276413530986;83.82791670384924;84.51406060144119;84.17276413530986;4376.983735036113
6663;79;Finland;2039;3;Both;26;Life expectancy;1;Number;0;Reference;84.14873642360523;83.81373567936464;84.49306649809289;84.14873642360523;4375.734294027472
6664;79;Finland;2039;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.57038787804251;84.23795116228811;84.91881435861018;84.57038787804251;4397.66016965821
6665;79;Finland;2039;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.23240469203084;83.90093252146669;84.57589361668143;84.23240469203084;4380.085043985604
6666;79;Finland;2040;3;Both;26;Life expectancy;1;Number;0;Reference;84.20100092616522;83.85997283435489;84.55840346643996;84.20100092616522;4378.452048160591
6667;79;Finland;2040;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.63673532172778;84.2978683179198;84.99136169809655;84.63673532172778;4401.1102367298445
6668;79;Finland;2040;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.29142769144919;83.95221872707802;84.6463563171284;84.29142769144919;4383.154239955357
6669;79;Finland;2041;3;Both;26;Life expectancy;1;Number;0;Reference;84.25680891066555;83.90358905054889;84.61311218767683;84.25680891066555;4381.354063354609
6670;79;Finland;2041;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.70700482948786;84.35929897701563;85.06817671811103;84.70700482948786;4404.764251133369
6671;79;Finland;2041;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.3550133204702;84.00401809221175;84.71213691784385;84.3550133204702;4386.460692664451
6672;79;Finland;2042;3;Both;26;Life expectancy;1;Number;0;Reference;84.31217350628917;83.9475623670305;84.67463635231259;84.31217350628917;4384.233022327036
6673;79;Finland;2042;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.77698339424295;84.42215653494615;85.13865262726279;84.77698339424295;4408.403136500633
